#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-08-14T16:49:54 [V7.32.4]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO protocol=ASU 
#INFO request_date=2023-08-14T16:49:54 
#INFO request_post=https://vizier.cds.unistra.fr//viz-bin/asu-txt 
#-oc.form=sexa
#-out.max=1000
#-order=I
#-out.src=J/ApJ/785/63/table2
#-nav=cat:J/ApJ/785/63&tab:{J/ApJ/785/63/table2}&key:source=J/ApJ/785/63&HTTPPRM:&&-ref=VIZ64da5a1f2fbadc&-out.max=1000&-out.form=ascii table&-oc.form=sexa&-order=I&-out=R0&-out=V0&-out=r&-out=Vc&-out=e_Vc&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/785/63/table2
#-source=J/ApJ/785/63/table2
#-out=R0
#-out=V0
#-out=r
#-out=Vc
#-out=e_Vc
#
#INFO contact=cds-question@unistra.fr 
#INFO version=7.32.4 
#INFO -out.max=1000 

#RESOURCE=yCat_17850063
#Name: J/ApJ/785/63
#Title: Rotation curve of the Milky Way (Bhattacharjee+, 2014)
#INFO ivoid=ivo://cds.vizier/j/apj/785/63    
#INFO publisher=CDS    
#INFO creator=Bhattacharjee P.    
#INFO related_resource=bibcode:2014ApJ...785...63B    
#INFO landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/785/63    
#INFO publication_id=doi:10.26093/cds/vizier.17850063    
#INFO publication_date=2017-09-04    
#INFO curation_level=RESEARCH    
#INFO rights=https://cds.unistra.fr/vizier-org/licences_vizier.html    
#Table J_ApJ_785_63_table2:
#Name: J/ApJ/785/63/table2
#Title: Rotation Curve of the Milky Way
#---Details of Columns:
    R0 (kpc)    (F4.1)  Sun's distance from Galactic center [ucd=pos.distance;pos.galactocentric]
    V0 (km/s)   (I3)    Sun's circular rotation velocity around Galactic center [ucd=phys.veloc.rotat]
    r (kpc)     (F6.2)  Distance from Galactic center [ucd=pos.distance;pos.galactocentric]
    Vc (km/s)   (F6.2)  Circular velocity [ucd=phys.veloc]
    e_Vc (km/s) (F6.2)  The 1-{sigma} error in Vc [ucd=stat.error;pos.cartesian.y]
---- --- ------ ------ ------
     V0                      
R0 ( (km r      Vc     e_Vc  
kpc) /s) (kpc)  (km/s) (km/s)
---- --- ------ ------ ------
 8.0 200   0.19 231.95  13.13
 8.0 200   0.36 266.93   4.51
 8.0 200   0.65 246.89  10.60
 8.0 200   1.62 205.73   5.80
 8.0 200   2.61 199.91   1.60
 8.0 200   3.55 209.45   2.54
 8.0 200   4.52 226.19   2.20
 8.0 200   5.54 223.45   1.82
 8.0 200   6.47 233.59   2.55
 8.0 200   7.55 222.95   1.62
 8.0 200   8.43 206.35   7.10
 8.0 200   9.47 181.13   9.40
 8.0 200  10.52 200.09  13.50
 8.0 200  11.39 201.15  17.18
 8.0 200  12.40 219.82  18.06
 8.0 200  13.46 175.32   2.70
 8.0 200  14.52 157.22  18.21
 8.0 200  15.81 244.37  24.50
 8.0 200  19.78 206.54  99.13
 8.0 200  26.27 195.19   7.03
 8.0 200  28.27 227.82  11.13
 8.0 200  29.48 209.34   9.95
 8.0 200  31.55 179.72   7.83
 8.0 200  33.75 174.88   7.88
 8.0 200  36.50 176.68   6.38
 8.0 200  38.40 185.90  11.69
 8.0 200  40.42 194.47  14.33
 8.0 200  42.42 191.16   3.68
 8.0 200  44.48 204.39  17.37
 8.0 200  45.97 183.80  11.69
 8.0 200  48.03 210.75  24.06
 8.0 200  49.95 170.22  15.79
 8.0 200  51.78 217.07  32.27
 8.0 200  53.91 154.80  19.08
 8.0 200  56.86 188.95  23.77
 8.0 200  57.96 207.16  37.15
 8.0 200  60.89 181.95  28.51
 8.0 200  64.73 202.08  34.79
 8.0 200  69.40 203.78  40.98
 8.0 200  72.99 199.21  44.47
 8.0 200  77.09 227.19  71.13
 8.0 200  81.70 156.32  51.09
 8.0 200  85.21 108.31  36.93
 8.0 200  88.94 176.80  48.97
 8.0 200  89.50 106.56  39.89
 8.0 200  92.27 161.64  70.66
 8.0 200  97.15 192.29  76.46
 8.0 200 100.48 103.47  38.93
 8.0 200 106.55 162.19  63.93
 8.0 200 119.93 131.33  24.43
 8.0 200 189.45 130.90  42.17
 8.3 244   0.20 233.00  13.32
 8.3 244   0.38 268.92   4.67
 8.3 244   0.66 250.75  11.35
 8.3 244   1.61 217.83   5.81
 8.3 244   2.57 219.58   1.48
 8.3 244   3.59 223.11   2.43
