\fixlen = T
|set|HJD             |Relative_Flux|
|int|double          |double       |
 0   2454280.68581310 0.99858714    
 0   2454280.68613060 0.99893544    
 0   2454280.68644820 1.0005495     
 0   2454280.68676630 0.99920870    
 0   2454280.68708390 0.99999510    
 0   2454280.68739850 0.99963366    
 0   2454280.68771580 0.99984715    
 0   2454280.68803370 0.99940892    
 0   2454280.68835130 1.0007346     
 0   2454280.68866860 1.0005559     
 0   2454280.68898650 1.0009102     
 0   2454280.68930400 0.99940921    
 0   2454280.68961860 0.99900889    
 0   2454280.68993690 0.99904173    
 0   2454280.69025520 0.99982056    
 0   2454280.69057160 0.99996321    
 0   2454280.69088960 0.99882782    
 0   2454280.69120420 1.0003268     
 0   2454280.69152260 0.99977861    
 0   2454280.69184050 1.0002728     
 0   2454280.69215870 1.0007031     
 0   2454280.69247270 1.0006771     
 0   2454280.69279030 0.99994963    
 0   2454280.69310820 1.0001276     
 0   2454280.69342610 0.99905385    
 0   2454280.69374270 1.0005901     
 0   2454280.69405980 0.99989387    
 0   2454280.69437750 1.0018015     
 0   2454280.69469510 0.99961773    
 0   2454280.69500970 0.99998708    
 0   2454280.69532670 0.99945988    
 0   2454280.69564410 0.99993076    
 0   2454280.69596190 0.99948895    
 0   2454280.69627970 0.99902797    
 0   2454280.69659800 1.0007733     
 0   2454280.69691240 0.99999400    
 0   2454280.69722970 0.99979004    
 0   2454280.69754780 1.0001220     
 0   2454280.69786630 0.99935244    
 0   2454280.69818080 1.0002621     
 0   2454280.69849820 1.0008923     
 0   2454280.69881560 1.0006833     
 0   2454280.69913370 1.0009390     
 0   2454280.69945190 1.0003364     
 0   2454280.69976650 1.0004430     
 0   2454280.70008360 1.0004086     
 0   2454280.70040100 1.0001096     
 0   2454280.70071940 0.99987083    
 0   2454280.70103740 1.0003372     
 0   2454280.70135480 0.99986962    
 0   2454280.70166920 1.0000582     
 0   2454280.70198660 0.99992257    
 0   2454280.70230400 0.99860642    
 0   2454280.70262220 1.0006206     
 0   2454280.70294050 0.99999403    
 0   2454280.70325520 0.99966481    
 0   2454280.70357250 0.99926643    
 0   2454280.70389030 0.99944015    
 0   2454280.70420820 1.0009738     
 0   2454280.70452610 0.99945023    
 0   2454280.70484070 0.99990973    
 0   2454280.70515890 0.99987196    
 0   2454280.70547620 1.0001572     
 0   2454280.70579450 1.0004489     
 0   2454280.70610890 1.0000732     
 0   2454280.70642640 1.0004794     
 0   2454280.70674380 0.99989626    
 0   2454280.70706210 0.99901598    
 0   2454280.70738030 1.0005414     
 0   2454280.70769480 1.0000723     
 0   2454280.70801200 0.99978362    
 0   2454280.70832930 0.99986899    
 0   2454280.70864710 1.0001868     
 0   2454280.70896500 1.0009195     
 0   2454280.70928400 1.0001500     
 0   2454280.70959770 1.0006501     
 0   2454280.70991500 1.0002707     
 0   2454280.71023290 0.99999494    
 0   2454280.71055130 1.0010640     
 0   2454280.71086870 0.99977772    
 0   2454280.71118330 1.0000048     
 0   2454280.71150060 0.99947002    
 0   2454280.71181840 1.0005815     
 0   2454280.71213640 0.99908220    
 0   2454280.71245430 1.0002272     
 0   2454280.71276890 0.99965006    
 0   2454280.71308650 1.0002226     
 0   2454280.71340480 1.0004728     
 0   2454280.71372340 1.0005309     
 0   2454280.71403750 0.99871176    
 0   2454280.71435450 0.99855235    
 0   2454280.71467190 1.0013698     
 0   2454280.71498970 0.99912793    
 0   2454280.71530800 0.99786596    
 0   2454280.71562560 1.0007761     
 0   2454280.71594010 1.0001919     
 0   2454280.71625780 0.99946721    
 0   2454280.71657560 1.0007267     
 0   2454280.71689370 1.0007447     
 0   2454280.71721120 1.0007445     
 0   2454280.71752600 1.0002180     
 0   2454280.71784310 0.99970286    
 0   2454280.71816100 1.0006633     
 0   2454280.71847870 0.99910052    
 0   2454280.71879650 0.99987786    
 0   2454280.71911460 0.99913080    
 0   2454280.71942860 1.0005501     
 0   2454280.71974670 1.0005367     
 0   2454280.72006440 1.0004036     
 0   2454280.72038240 1.0008712     
 0   2454280.72069700 0.99921381    
 0   2454280.72101530 1.0000048     
 0   2454280.72133280 1.0000618     
 0   2454280.72165080 1.0014145     
 0   2454280.72196830 1.0005428     
 0   2454280.72228290 1.0007117     
 0   2454280.72260000 0.99971913    
 0   2454280.72291760 0.99950650    
 0   2454280.72323610 1.0007952     
 0   2454280.72355390 1.0003630     
 0   2454280.72386850 1.0006030     
 0   2454280.72418580 0.99949894    
 0   2454280.72450370 0.99993562    
 0   2454280.72482130 1.0007518     
 0   2454280.72513910 0.99928898    
 0   2454280.72545620 1.0012324     
 0   2454280.72577270 0.99940879    
 0   2454280.72609020 0.99834575    
 0   2454280.72640890 1.0005949     
