\fixlen = T
|set|BJD          |Normalized_Flux|
|int|double       |double         |
 0   2453877.71866 .999421         
 0   2453877.71935 .999318         
 0   2453877.72005 .999580         
 0   2453877.72074 .999518         
 0   2453877.72143 .999498         
 0   2453877.72213 .999603         
 0   2453877.72282 .999592         
 0   2453877.72352 .999637         
 0   2453877.72421 .999532         
 0   2453877.72491 .999610         
 0   2453877.72560 .999650         
 0   2453877.72630 .999656         
 0   2453877.72699 .999722         
 0   2453877.72768 .999657         
 0   2453877.72838 .999663         
 0   2453877.72907 .999693         
 0   2453877.72977 .999633         
 0   2453877.73046 .999731         
 0   2453877.73116 .999737         
 0   2453877.73185 .999902         
 0   2453877.73255 .999894         
 0   2453877.73324 .999871         
 0   2453877.73394 .999725         
 0   2453877.73463 .999678         
 0   2453877.73532 .999782         
 0   2453877.73602 .999802         
 0   2453877.73671 .999690         
 0   2453877.73741 .999676         
 0   2453877.73810 .999770         
 0   2453877.73880 .999894         
 0   2453877.73949 .999719         
 0   2453877.74019 .999765         
 0   2453877.74088 .999849         
 0   2453877.74157 .999704         
 0   2453877.74227 .999805         
 0   2453877.74296 .999818         
 0   2453877.74366 .999820         
 0   2453877.74435 .999803         
 0   2453877.74505 .999770         
 0   2453877.74574 .999871         
 0   2453877.74644 .999912         
 0   2453877.74713 .999878         
 0   2453877.78192 1.000047        
 0   2453877.78262 .999990         
 0   2453877.78331 .999987         
 0   2453877.78401 .999925         
 0   2453877.78470 .999977         
 0   2453877.78540 1.000030        
 0   2453877.78609 1.000085        
 0   2453877.78679 .999877         
 0   2453877.78748 .999989         
 0   2453877.78817 .999914         
 0   2453877.78887 .999984         
 0   2453877.78956 .999957         
 0   2453877.79026 1.000049        
 0   2453877.79095 1.000052        
 0   2453877.79165 1.000096        
 0   2453877.79234 .999870         
 0   2453877.79304 1.000008        
 0   2453877.79373 .999914         
 0   2453877.79443 .999965         
 0   2453877.79512 .999973         
 0   2453877.79581 1.000151        
 0   2453877.79651 1.000053        
 0   2453877.79720 .999957         
 0   2453877.79790 1.000005        
 0   2453877.79859 1.000056        
 0   2453877.79929 1.000014        
 0   2453877.79998 1.000030        
 0   2453877.80068 1.000042        
 0   2453877.80137 1.000098        
 0   2453877.80206 .999952         
 0   2453877.80276 1.000043        
 0   2453877.80345 .999927         
 0   2453877.80415 .999988         
 0   2453877.80484 .999874         
 0   2453877.80554 .999878         
 0   2453877.80623 .999906         
 0   2453877.80693 .999902         
 0   2453877.80762 1.000039        
 0   2453877.80832 .999922         
 0   2453877.80901 .999946         
 0   2453877.80970 1.000070        
 0   2453877.81040 .999929         
 0   2453877.81109 1.000059        
 0   2453877.81179 1.000080        
 0   2453877.81248 1.000097        
 0   2453877.81318 1.000183        
 0   2453877.84854 .985203         
 0   2453877.84923 .984074         
 0   2453877.84993 .982891         
 0   2453877.85062 .981776         
 0   2453877.85132 .980874         
 0   2453877.85201 .980014         
 0   2453877.85270 .979057         
 0   2453877.85340 .978472         
 0   2453877.85409 .977835         
 0   2453877.85479 .977513         
 0   2453877.85548 .977239         
 0   2453877.85618 .976938         
 0   2453877.85687 .976604         
 0   2453877.85757 .976327         
 0   2453877.85826 .976068         
 0   2453877.85896 .975915         
 0   2453877.85965 .975831         
 0   2453877.86034 .975645         
 0   2453877.86104 .975351         
 0   2453877.86173 .975255         
 0   2453877.86243 .975202         
 0   2453877.86312 .975087         
 0   2453877.86382 .975059         
 0   2453877.86451 .974728         
 0   2453877.86521 .974742         
 0   2453877.86590 .974774         
 0   2453877.86659 .974680         
 0   2453877.86729 .974593         
 0   2453877.86798 .974438         
 0   2453877.86868 .974300         
 0   2453877.86937 .974379         
 0   2453877.87007 .974242         
 0   2453877.87076 .974251         
 0   2453877.87146 .974048         
 0   2453877.87215 .974129         
 0   2453877.87285 .974123         
 0   2453877.87354 .974010         
 0   2453877.87423 .973961         
 0   2453877.87493 .974121         
 0   2453877.87562 .974117         
 0   2453877.87632 .974279         
 0   2453877.87701 .974439         
 0   2453877.87771 .974709         
 0   2453877.87840 .974962         
 0   2453877.87910 .975154         
 0   2453877.87979 .975288         
 0   2453877.91516 1.000025        
 0   2453877.91586 .999948         
 0   2453877.91655 1.000044        
 0   2453877.91725 .999965         
 0   2453877.91794 1.000062        
 0   2453877.91864 1.000053        
 0   2453877.91933 1.000002        
